Source,Target,Weight,Year,Type
crop production,field crop,0.0297029702970297,1923,Undirected
british museum expedition,museum expedition,0.0297029702970297,1923,Undirected
english channel,oceanic water,0.04950495049504951,1925,Undirected
english channel,inshore water,0.04950495049504951,1925,Undirected
deep water,inshore water,0.04950495049504951,1925,Undirected
english channel,south west,0.04950495049504951,1925,Undirected
oceanic water,south west,0.04950495049504951,1925,Undirected
deep water,english channel,0.04950495049504951,1925,Undirected
potato crop,soil fertility,0.0594059405940594,1926,Undirected
number of specie,sample of soil,0.06930693069306931,1927,Undirected
control of insect,mediterranean fruit fly,0.0891089108910891,1929,Undirected
european corn borer,mediterranean fruit fly,0.0891089108910891,1929,Undirected
howe island,lord howe island,0.0891089108910891,1929,Undirected
control of insect,european corn borer,0.0891089108910891,1929,Undirected
crop production,such pest,0.09900990099009901,1930,Undirected
bay of biscay,southern north sea,0.10891089108910891,1931,Undirected
bay of biscay,north sea,0.10891089108910891,1931,Undirected
north sea,southern north sea,0.10891089108910891,1931,Undirected
british museum expedition,portuguese east africa,0.12871287128712872,1933,Undirected
museum expedition,portuguese east africa,0.12871287128712872,1933,Undirected
larval parasite,young larvae,0.13861386138613863,1934,Undirected
larval parasite,trap crop,0.13861386138613863,1934,Undirected
trap crop,young larvae,0.13861386138613863,1934,Undirected
canadian national collection,united states national museum,0.15841584158415842,1936,Undirected
american museum,united states national museum,0.16831683168316833,1937,Undirected
insect collection,royal ontario museum,0.1782178217821782,1938,Undirected
english channel,north sea,0.1782178217821782,1938,Undirected
specie of nematode,western australia,0.18811881188118812,1939,Undirected
helminth parasite,wild bird,0.19801980198019803,1940,Undirected
forest tent caterpillar,tent caterpillar,0.19801980198019803,1940,Undirected
major pest,specie of parasite,0.25742574257425743,1946,Undirected
celtic sea,continental slope,0.2871287128712871,1949,Undirected
english channel,surface water,0.31683168316831684,1952,Undirected
celtic sea,south west,0.31683168316831684,1952,Undirected
continental slope,south west,0.31683168316831684,1952,Undirected
celtic sea,surface water,0.31683168316831684,1952,Undirected
continental slope,english channel,0.31683168316831684,1952,Undirected
celtic sea,english channel,0.31683168316831684,1952,Undirected
continental slope,surface water,0.31683168316831684,1952,Undirected
coastal water,scotian shelf,0.32673267326732675,1953,Undirected
coastal water,slope water,0.32673267326732675,1953,Undirected
variation of salinity,west coast,0.32673267326732675,1953,Undirected
bottom water,coastal water,0.32673267326732675,1953,Undirected
strong tidal current,west coast,0.32673267326732675,1953,Undirected
strong tidal current,vancouver island,0.32673267326732675,1953,Undirected
strong tidal current,variation of salinity,0.32673267326732675,1953,Undirected
scotian shelf,slope water,0.32673267326732675,1953,Undirected
british columbia coast,variation of salinity,0.32673267326732675,1953,Undirected
british columbia coast,strong tidal current,0.32673267326732675,1953,Undirected
vancouver island,variation of salinity,0.32673267326732675,1953,Undirected
british columbia coast,vancouver island,0.32673267326732675,1953,Undirected
vancouver island,west coast,0.32673267326732675,1953,Undirected
british columbia coast,west coast,0.32673267326732675,1953,Undirected
bay of fundy,river water,0.32673267326732675,1953,Undirected
host parasite list,parasite host list,0.33663366336633666,1954,Undirected
bumble bee queen,insect pollinate crop,0.33663366336633666,1954,Undirected
bee colony,bumble bee queen,0.33663366336633666,1954,Undirected
fuca strait,strait of georgia,0.33663366336633666,1954,Undirected
bee colony,insect pollinate crop,0.33663366336633666,1954,Undirected
gulf of mexico,western north atlantic ocean,0.3465346534653465,1955,Undirected
gulf of mexico,north atlantic ocean,0.3465346534653465,1955,Undirected
north atlantic ocean,western north atlantic ocean,0.3465346534653465,1955,Undirected
african wild dog,wild dog,0.3564356435643564,1956,Undirected
bay of biscay,sea water,0.36633663366336633,1957,Undirected
stem borer,synthetic organic insecticide,0.36633663366336633,1957,Undirected
rice crop,stem borer,0.36633663366336633,1957,Undirected
rice crop,rice stem borer,0.36633663366336633,1957,Undirected
strait of georgia,water temperature,0.36633663366336633,1957,Undirected
rice crop,synthetic organic insecticide,0.36633663366336633,1957,Undirected
gulf of alaska,surface water,0.36633663366336633,1957,Undirected
surface water,surface water temperature,0.36633663366336633,1957,Undirected
surface water,water temperature,0.36633663366336633,1957,Undirected
surface water,water masse,0.36633663366336633,1957,Undirected
surface water temperature,water temperature,0.36633663366336633,1957,Undirected
deep water,fuca strait,0.36633663366336633,1957,Undirected
deep water,gulf of alaska,0.36633663366336633,1957,Undirected
rice stem borer,stem borer,0.36633663366336633,1957,Undirected
deep water,surface water,0.36633663366336633,1957,Undirected
deep water,water masse,0.36633663366336633,1957,Undirected
fuca strait,water temperature,0.36633663366336633,1957,Undirected
fuca strait,surface water temperature,0.36633663366336633,1957,Undirected
fuca strait,surface water,0.36633663366336633,1957,Undirected
deep water,water temperature,0.36633663366336633,1957,Undirected
deep water,strait of georgia,0.36633663366336633,1957,Undirected
strait of georgia,surface water temperature,0.36633663366336633,1957,Undirected
strait of georgia,surface water,0.36633663366336633,1957,Undirected
rice stem borer,synthetic organic insecticide,0.36633663366336633,1957,Undirected
deep water,surface water temperature,0.36633663366336633,1957,Undirected
