,field_code,field,link,rows,concepts,edges
0,1204,Engineering Design,https://www.dropbox.com/scl/fi/eg3klm62dq9ahca24htkg/concepts_Engineering-Design_1204.csv.gz?rlkey=rwii8lwthgn8cxcy173kqwagf&st=8sgp1e52&dl=1,13677,0,0
1,2299,Other Philosophy and Religious Studies,https://www.dropbox.com/scl/fi/wjtiv4or9xwztv4nd0f57/concepts_Other-Philosophy-and-Religious-Studies_2299.csv.gz?rlkey=3bvcnopeosy2er1yi8s3egkwx&st=h4etvxml&dl=1,22904,0,0
2,1299,Other Built Environment and Design,https://www.dropbox.com/scl/fi/bkhfg30uijmtdkod0t9b0/concepts_Other-Built-Environment-and-Design_1299.csv.gz?rlkey=neanbug5f4303uz0b83y1w547&st=4es0rxa5&dl=1,23388,0,0
3,1999,Other Studies In Creative Arts and Writing,https://www.dropbox.com/scl/fi/odf8jg56ag0e1njc2ngng/concepts_Other-Studies-In-Creative-Arts-and-Writing_1999.csv.gz?rlkey=2q7kh4s9oolwxktbuizgrkdxo&st=tg812i7n&dl=1,22843,0,0
4,1899,Other Law and Legal Studies,https://www.dropbox.com/scl/fi/2nc1m11om0yhhx1xwf796/concepts_Other-Law-and-Legal-Studies_1899.csv.gz?rlkey=mdjc42ayudkfutfpbv3z4wgal&st=cn3264rf&dl=1,39960,0,0
5,599,Other Environmental Sciences,https://www.dropbox.com/scl/fi/nsfncsbhk1lcuxi4o04qz/concepts_Other-Environmental-Sciences_599.csv.gz?rlkey=tvn7sjrkinp13np6lqtnrao09&st=pt8oo41s&dl=1,91023,0,0
6,2199,Other History and Archaeology,https://www.dropbox.com/scl/fi/lxicg3o9atzw91hpuhutp/concepts_Other-History-and-Archaeology_2199.csv.gz?rlkey=t7lw5mk2ueu9xbl6gfkxboywh&st=zas78b05&dl=1,106533,0,0
7,1799,Other Psychology and Cognitive Sciences,https://www.dropbox.com/scl/fi/2q2c0y0dnhn2vjz0gjpk9/concepts_Other-Psychology-and-Cognitive-Sciences_1799.csv.gz?rlkey=zow1323rskxb4j2as7v4uav24&st=14qrno4j&dl=1,143825,0,0
8,2099,Other Language Communication and Culture,https://www.dropbox.com/scl/fi/0rr2c0n7iknr285vgdu7p/concepts_Other-Language-Communication-and-Culture_2099.csv.gz?rlkey=fke1ft1tku678qwd4ryhnao0b&st=oetb62pi&dl=1,200905,2898,5874
9,499,Other Earth Sciences,https://www.dropbox.com/scl/fi/d3f48nhryu50ztc3pwkq2/concepts_Other-Earth-Sciences_499.csv.gz?rlkey=vizgcjh4qqzrafehdswamrsht&st=12ysgui0&dl=1,218913,3146,6597
10,1399,Other Education,https://www.dropbox.com/scl/fi/gy38ce33oyjmp2g1d7puj/concepts_Other-Education_1399.csv.gz?rlkey=allsd49wztn9jfj9naiama7gj&st=f8yfypec&dl=1,400407,4616,7449
11,1002,Environmental Biotechnology,https://www.dropbox.com/scl/fi/ilrg9oph55z3kquysypfe/concepts_Environmental-Biotechnology_1002.csv.gz?rlkey=ng6cxx2f71cojnd9r6xgxifrd&st=3zxk94ec&dl=1,607018,5167,8833
12,999,Other Engineering,https://www.dropbox.com/scl/fi/neay17qisul954mlpgas9/concepts_Other-Engineering_999.csv.gz?rlkey=6quw4ovkmoh1c41a68uzqlilm&st=pv5wj3lf&dl=1,762828,11237,37435
13,1099,Other Technology,https://www.dropbox.com/scl/fi/oykpxnm93htu7ija5os57/concepts_Other-Technology_1099.csv.gz?rlkey=8h8tj4lxd08r73me033va1s2a&st=2od35doj&dl=1,807895,7594,15635
